interval_id,power_watts,record_kind,seconds_from_start
,160.274,sample,0.093206762
,160.349,sample,0.193226612
,160.518,sample,0.293206432
,160.591,sample,0.393232236
,160.646,sample,0.493209944
,160.678,sample,0.593208324
,160.808,sample,0.693199919
,160.923,sample,0.793219835
,161.087,sample,0.893206823
,161.278,sample,0.993200914
,161.579,sample,1.09319619
,161.652,sample,1.19319777
,161.721,sample,1.293195478
,161.938,sample,1.393200609
,162.068,sample,1.493198124
,162.245,sample,1.593196761
,162.38,sample,1.693196932
,162.398,sample,1.79319736
,162.477,sample,1.893196219
,162.473,sample,1.993195048
,162.43,sample,2.093211795
,162.319,sample,2.19323171
,162.143,sample,2.29322209
,162.048,sample,2.39320959
,162.177,sample,2.49320445
,162.191,sample,2.593203245
,162.202,sample,2.693202457
,162.288,sample,2.793202693
,162.275,sample,2.893204048
,162.317,sample,2.993203452
,162.299,sample,3.093200872
,162.483,sample,3.193199764
,162.532,sample,3.293202879
,162.641,sample,3.393203242
,162.603,sample,3.493200919
,162.575,sample,3.593201858
,162.553,sample,3.69320091
,162.448,sample,3.793201465
,162.47,sample,3.893201989
,162.474,sample,3.993202321
,162.41,sample,4.093200156
,162.297,sample,4.193206951
,162.173,sample,4.293216244
,162.105,sample,4.393221631
,162.035,sample,4.493203627
,162.017,sample,4.593203094
,162.05,sample,4.693203779
,162.11,sample,4.793203502
,162.081,sample,4.893201049
,162.078,sample,4.993200933
,162.015,sample,5.093202481
,162.155,sample,5.193202877
,162.392,sample,5.293202248
,162.444,sample,5.393200916
,162.48,sample,5.493202976
,162.438,sample,5.593200907
,162.413,sample,5.693214198
,162.346,sample,5.793220546
,162.259,sample,5.893218734
,162.258,sample,5.993204698
,162.349,sample,6.093204037
,162.35,sample,6.193201137
,162.375,sample,6.293201789
,162.352,sample,6.393200873
,162.264,sample,6.493200724
,162.235,sample,6.593202273
,162.238,sample,6.693206476
,162.281,sample,6.793230071
,162.234,sample,6.893222466
,162.204,sample,6.993208111
,162.2,sample,7.093203419
,162.255,sample,7.193201958
,162.211,sample,7.293202993
,162.255,sample,7.393204094
,162.318,sample,7.493203561
,162.352,sample,7.593200181
,162.325,sample,7.693208416
attempt-1-client-3,,start,0.0
attempt-1-client-3,,end,2.066274917
attempt-1-client-4,,start,2.154772188
attempt-1-client-4,,end,4.138337411
attempt-1-client-5,,start,4.220806278
attempt-1-client-5,,end,5.635761646
attempt-1-client-6,,start,5.722174165
attempt-1-client-6,,end,6.701613352
attempt-1-client-7,,start,6.783931119
attempt-1-client-7,,end,7.728355599
